SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAJDEEP ROY,Bharatiya Janata Party,496235,3179,499414,52.59
2,SUSHMITA DEV,Indian National Congress,416233,1585,417818,43.99
3,HITABRATA ROY,All India Trinamool Congress,3498,16,3514,0.37
4,NAZIA YASMIN MAZUMDAR,National People's Party,5650,43,5693,0.6
5,Badrul Islam Barbhuiya,All India Forward Bloc,829,11,840,0.09
6,Shyam Deo Kurmi,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1081,14,1095,0.12
7,Ashitava Dutta,Independent,808,5,813,0.09
8,Ashutosh Bhattacharjee,Independent,1503,4,1507,0.16
9,Nazmul Haque Laskar,Independent,1816,4,1820,0.19
10,Puran Lal Goala,Independent,1459,1,1460,0.15
11,Mohendra Chandra Das,Independent,1652,3,1655,0.17
12,Shuvadip Datta,Independent,1532,3,1535,0.16
13,Sabindra Das,Independent,3981,4,3985,0.42
14,NOTA,None of the Above,8525,22,8547,0.9
,Total, ,944802,4894,949696,
